inputPSNR	denoisedPSNR
29.370039974670789	33.422461280098702
29.381326295336969	33.479303906964674
29.316595759996488	33.456810886651340
29.327664643998265	33.444673871062321
29.376030228671169	33.590336524363778
29.381728003467735	33.548729966281975
29.371914031800756	33.586598862352588
29.365044898109534	33.580731780717514
29.400283253787546	33.677713746057883
29.354489774705193	33.651642194441472
29.387083904279457	33.654745571866954
29.363312863180223	33.598748588772736
29.365894221739211	33.613853649344207
29.418759662560543	33.641307554044687
29.388816594054632	33.690095492993905
29.337118961080218	33.646313133618044
29.371777781617766	33.594366326451905
29.397501516180231	33.644987400136174
29.389218774290100	33.699119320576003
29.404964915414006	33.694293865173030
29.394045185203620	33.673690686448701
29.379024371486917	33.567922176126402
29.384845487226485	33.675876290013584
29.378284639692438	33.602460543507632
29.376216709024888	33.600002964086272
29.394907514008885	33.594951550751063
29.367876623047074	33.518295098461770
29.420590653687050	33.484108757938358
29.400552004691981	33.408559745227976
29.372519051881682	33.288530525410160
29.351314124237167	33.262618845787728
29.374556763784966	33.263558321253655
29.358190128447468	33.328867369470501
29.360685538553231	33.215725117126340
29.360938655114506	33.231528556553435
29.402058072002347	33.231067946959385
29.377039525053448	33.032971771447862
29.370950230753209	33.250625365682524
29.407892379506460	33.266600613833724
29.370639223501982	33.400807371521822
29.357158396092203	33.428853841519754
29.395880637497484	33.399214967785674
29.403054783058327	33.416510182619803
29.408684309473955	33.429343931761380
29.389277211941671	33.500090932955942
29.395010357758558	33.393873422957626
29.352752724266917	33.260003720553598
29.355995326637139	33.261034105778421
29.363198665583916	33.378281147834727
29.363340587905164	33.336097797959169
