inputPSNR	denoisedPSNR
29.370039974670789	34.379198133070872
29.381326295336969	34.416486784214321
29.316595759996488	34.361933300569227
29.327664643998265	34.383952518775324
29.376030228671169	34.561270387608978
29.381728003467735	34.447860030280367
29.371914031800756	34.551080206977581
29.365044898109534	34.545961083422235
29.400283253787546	34.626118645411651
29.354489774705193	34.582817922161205
29.387083904279457	34.643392110099356
29.363312863180223	34.562136926156889
29.365894221739211	34.538574333001421
29.418759662560543	34.562509152467541
29.388816594054632	34.600244576006538
29.337118961080218	34.591907947440646
29.371777781617766	34.548311253355529
29.397501516180231	34.594486144266945
29.389218774290100	34.672625841494607
29.404964915414006	34.612802922830141
29.394045185203620	34.644525871329044
29.379024371486917	34.553993716023925
29.384845487226485	34.658207390895420
29.378284639692438	34.566441891969326
29.376216709024888	34.503503113880491
29.394907514008885	34.542705790675491
29.367876623047074	34.511454306301005
29.420590653687050	34.465672106567943
29.400552004691981	34.359682949701153
29.372519051881682	34.182950770228047
29.351314124237167	34.209166305382254
29.374556763784966	34.186930041589264
29.358190128447468	34.271710264523279
29.360685538553231	34.162706839987713
29.360938655114506	34.162043023357768
29.402058072002347	34.194631534527460
29.377039525053448	34.030524046004338
29.370950230753209	34.135074131949004
29.407892379506460	34.226210248899378
29.370639223501982	34.362948714780003
29.357158396092203	34.354472164490687
29.395880637497484	34.387191704641694
29.403054783058327	34.394755818936318
29.408684309473955	34.391588406826727
29.389277211941671	34.455707596599957
29.395010357758558	34.344146230842149
29.352752724266917	34.185103425013629
29.355995326637139	34.211747535912892
29.363198665583916	34.315026895309472
29.363340587905164	34.243768871193637
